award_id,artist_id,award_name,category,year
1,148,Melodex Artist Award,Best Album,2019
2,14,Melodex Artist Award,Best New Artist,2016
3,146,Crestwick Prize,Best New Artist,2024
4,136,Streamify Annual Award,Best Collaboration,2017
5,222,Golden Frequency Award,Best Track,2015
6,29,Crestwick Prize,Best Collaboration,2023
7,114,Harmonic Award,Best Track,2024
8,86,Streamify Annual Award,Best New Artist,2022
9,29,Stonfeld Honours,Best Artist,2017
10,15,Stonfeld Honours,Best Collaboration,2015
11,124,Golden Frequency Award,Best Album,2024
12,137,Velvet Mic Award,Best Album,2015
13,156,Stonfeld Honours,Best Collaboration,2016
14,70,Melodex Artist Award,Best New Artist,2022
15,183,Golden Frequency Award,Best Live Performance,2024
16,154,Stonfeld Honours,Best Artist,2018
17,95,Velvet Mic Award,Best New Artist,2016
18,149,Golden Frequency Award,Best Collaboration,2023
19,121,Golden Frequency Award,Best New Artist,2017
20,137,Velvet Mic Award,Best Track,2021
21,214,Crestwick Prize,Best New Artist,2023
22,47,Crestwick Prize,Best New Artist,2016
23,59,Solvern Music Prize,Best Album,2018
24,63,Harmonic Award,Best Live Performance,2018
25,146,Harmonic Award,Best Track,2016
26,99,Crestwick Prize,Best New Artist,2018
27,143,Stonfeld Honours,Best Artist,2015
28,170,Solvern Music Prize,Best Artist,2024
29,168,Stonfeld Honours,Best New Artist,2021
30,117,Crestwick Prize,Best Artist,2019
31,27,Harmonic Award,Best Track,2015
32,172,Velvet Mic Award,Best Live Performance,2016
33,230,Crestwick Prize,Breakthrough Artist,2016
34,12,Harmonic Award,Best Album,2020
35,154,Streamify Annual Award,Best Track,2018
36,45,Stonfeld Honours,Best New Artist,2016
37,173,Velvet Mic Award,Best New Artist,2016
38,34,Harmonic Award,Breakthrough Artist,2023
39,159,Streamify Annual Award,Best Artist,2017
40,123,Streamify Annual Award,Best New Artist,2018
41,152,Velvet Mic Award,Best New Artist,2023
42,135,Streamify Annual Award,Best Collaboration,2017
43,45,Melodex Artist Award,Best Album,2023
44,14,Harmonic Award,Best Artist,2024
45,166,Harmonic Award,Best Live Performance,2017
46,243,Streamify Annual Award,Best Collaboration,2020
47,159,Harmonic Award,Best Artist,2020
48,172,Crestwick Prize,Best New Artist,2015
49,233,Crestwick Prize,Best Track,2021
50,132,Streamify Annual Award,Breakthrough Artist,2022
51,143,Stonfeld Honours,Best Track,2018
52,48,Stonfeld Honours,Best Track,2021
53,238,Melodex Artist Award,Best Track,2016
54,33,Velvet Mic Award,Best New Artist,2015
55,246,Melodex Artist Award,Breakthrough Artist,2021
56,150,Golden Frequency Award,Best Artist,2020
57,232,Golden Frequency Award,Breakthrough Artist,2017
58,9,Stonfeld Honours,Best Artist,2015
59,75,Velvet Mic Award,Best Album,2018
60,9,Stonfeld Honours,Best Artist,2024
61,135,Crestwick Prize,Best New Artist,2015
62,75,Stonfeld Honours,Best Live Performance,2021
63,39,Stonfeld Honours,Best Album,2016
64,149,Harmonic Award,Best Artist,2019
65,89,Streamify Annual Award,Best Track,2023
66,18,Streamify Annual Award,Best Artist,2017
67,120,Crestwick Prize,Best Artist,2019
68,216,Solvern Music Prize,Best Album,2017
69,115,Stonfeld Honours,Breakthrough Artist,2024
70,142,Crestwick Prize,Best Artist,2015
71,149,Stonfeld Honours,Best Collaboration,2023
72,71,Golden Frequency Award,Best Artist,2017
73,227,Stonfeld Honours,Best Album,2017
74,160,Golden Frequency Award,Breakthrough Artist,2017
75,129,Velvet Mic Award,Breakthrough Artist,2024
76,55,Crestwick Prize,Best New Artist,2024
77,3,Golden Frequency Award,Best Live Performance,2019
78,17,Crestwick Prize,Breakthrough Artist,2024
79,109,Melodex Artist Award,Best New Artist,2018
80,34,Stonfeld Honours,Best New Artist,2017
81,47,Velvet Mic Award,Best New Artist,2022
82,19,Crestwick Prize,Breakthrough Artist,2016
83,204,Melodex Artist Award,Best Live Performance,2024
84,224,Golden Frequency Award,Breakthrough Artist,2024
85,70,Solvern Music Prize,Best Track,2021
86,7,Stonfeld Honours,Best Collaboration,2021
87,14,Velvet Mic Award,Best Live Performance,2020
88,111,Streamify Annual Award,Breakthrough Artist,2017
89,105,Stonfeld Honours,Best Album,2015
90,166,Velvet Mic Award,Breakthrough Artist,2016
91,133,Stonfeld Honours,Best Live Performance,2021
92,79,Crestwick Prize,Best New Artist,2022
93,102,Crestwick Prize,Best Track,2018
94,196,Stonfeld Honours,Best Collaboration,2015
95,9,Melodex Artist Award,Best Album,2016
96,205,Velvet Mic Award,Best Artist,2022
97,24,Melodex Artist Award,Best Track,2016
98,74,Crestwick Prize,Best Artist,2017
99,62,Stonfeld Honours,Best Artist,2021
100,144,Stonfeld Honours,Best Album,2023
101,235,Crestwick Prize,Breakthrough Artist,2022
102,204,Harmonic Award,Breakthrough Artist,2024
103,249,Golden Frequency Award,Breakthrough Artist,2022
104,111,Crestwick Prize,Best New Artist,2015
105,170,Solvern Music Prize,Best Collaboration,2021
106,169,Harmonic Award,Best Collaboration,2021
107,7,Harmonic Award,Best Album,2015
108,130,Solvern Music Prize,Best New Artist,2018
109,190,Golden Frequency Award,Best Live Performance,2022
110,67,Solvern Music Prize,Best Live Performance,2024
111,176,Melodex Artist Award,Best Album,2019
112,116,Velvet Mic Award,Best Album,2024
113,68,Streamify Annual Award,Best Album,2021
114,195,Solvern Music Prize,Best Artist,2023
115,239,Streamify Annual Award,Best New Artist,2023
116,180,Melodex Artist Award,Best Artist,2024
117,14,Streamify Annual Award,Best Album,2022
118,228,Velvet Mic Award,Best Artist,2019
119,183,Crestwick Prize,Best Live Performance,2022
120,235,Solvern Music Prize,Best Album,2022
121,128,Streamify Annual Award,Best Album,2023
122,108,Golden Frequency Award,Best New Artist,2024
123,245,Streamify Annual Award,Best Track,2016
124,19,Golden Frequency Award,Best Album,2018
125,216,Streamify Annual Award,Best New Artist,2017
126,81,Solvern Music Prize,Best Album,2019
