chart_id,track_id,artist_id,chart_name,week_date,peak_position,weeks_on_chart
1,7714,217,Urban Chart,2024-08-10,77,45
2,1862,188,APAC Pulse,2024-05-05,165,25
3,10734,142,Alternative 50,2023-06-30,53,5
4,6855,95,EU Top 200,2024-07-20,183,2
5,7162,181,Global Weekly,2022-03-24,188,12
6,10127,50,US Hot 100,2022-01-29,66,41
7,9756,137,Dance/Electronic 40,2024-09-24,115,46
8,9624,193,APAC Pulse,2024-03-22,160,10
9,2864,230,Urban Chart,2024-06-02,81,32
10,2388,90,Alternative 50,2022-04-27,144,7
11,4914,38,APAC Pulse,2015-07-29,30,40
12,2432,35,Global Weekly,2017-04-05,42,30
13,1785,178,US Hot 100,2024-11-10,102,30
14,12872,181,Urban Chart,2024-05-26,157,8
15,3233,180,Latin Beats,2023-11-30,123,46
16,12599,169,Global Weekly,2016-04-13,154,33
17,4221,93,Alternative 50,2024-05-26,108,11
18,5625,77,Global Weekly,2015-08-26,4,16
19,9902,179,EU Top 200,2023-04-05,105,13
20,11378,195,Alternative 50,2022-08-03,145,9
21,13150,176,Global Weekly,2018-03-14,102,7
22,1975,208,Global Weekly,2017-02-23,131,14
23,5010,55,APAC Pulse,2023-12-28,96,15
24,2198,4,EU Top 200,2016-10-19,147,45
25,3703,245,Dance/Electronic 40,2023-09-07,168,11
26,5785,62,Global Weekly,2022-04-08,174,1
27,4051,68,US Hot 100,2021-05-27,183,38
28,7074,220,Global Weekly,2023-05-03,180,48
29,13580,102,Alternative 50,2024-05-07,177,4
30,1202,32,Global Weekly,2024-12-25,180,38
31,5217,76,Alternative 50,2024-12-01,24,36
32,10478,97,APAC Pulse,2020-08-19,80,26
33,3191,52,EU Top 200,2023-02-18,112,5
34,9181,217,Latin Beats,2023-08-05,178,35
35,3348,85,US Hot 100,2016-06-29,157,11
36,13437,138,Global Weekly,2023-07-05,167,35
37,7428,228,Latin Beats,2023-01-04,162,46
38,8545,107,APAC Pulse,2019-01-16,120,47
39,14935,70,Global Weekly,2017-03-08,72,24
40,2386,89,APAC Pulse,2020-06-24,132,20
41,13733,76,US Hot 100,2024-12-26,150,27
42,13094,64,Latin Beats,2023-01-18,190,47
43,3478,250,US Hot 100,2022-03-09,145,31
44,5394,96,Dance/Electronic 40,2023-10-12,121,22
45,8764,122,EU Top 200,2015-12-16,70,49
46,6706,123,Dance/Electronic 40,2022-08-03,180,6
47,2674,58,Dance/Electronic 40,2018-01-10,189,3
48,12159,100,Latin Beats,2022-08-04,124,35
49,7221,6,Dance/Electronic 40,2024-11-09,63,10
50,10582,114,APAC Pulse,2018-09-19,167,47
51,4728,141,US Hot 100,2019-03-06,95,19
52,12547,106,EU Top 200,2023-09-12,166,39
53,9926,87,APAC Pulse,2021-04-14,134,39
54,13310,177,Latin Beats,2024-05-19,103,43
55,1878,2,APAC Pulse,2023-11-18,169,21
56,10918,156,Urban Chart,2024-04-11,31,22
57,14536,189,Dance/Electronic 40,2015-09-09,10,33
58,3203,139,Alternative 50,2024-01-31,63,3
59,3046,86,Latin Beats,2023-02-01,91,20
60,10519,235,Alternative 50,2018-08-08,130,1
61,12222,239,APAC Pulse,2024-12-28,17,43
62,6243,68,Alternative 50,2018-12-01,25,50
63,6670,160,Global Weekly,2019-03-25,66,50
64,11478,145,Alternative 50,2018-08-15,34,45
65,12084,123,Urban Chart,2021-08-04,64,31
66,4721,111,APAC Pulse,2018-04-04,16,8
67,3350,19,Alternative 50,2022-11-23,172,46
68,14008,48,APAC Pulse,2018-11-15,184,11
69,2802,15,Alternative 50,2016-09-14,176,27
70,4752,203,Urban Chart,2020-04-01,182,13
71,10835,168,Global Weekly,2015-05-13,114,26
72,9564,100,US Hot 100,2020-06-29,163,38
73,5277,216,Global Weekly,2023-02-08,97,18
74,3581,247,Dance/Electronic 40,2017-11-08,93,44
75,344,114,EU Top 200,2023-03-29,91,24
76,1077,90,Alternative 50,2016-11-23,140,9
77,6727,10,APAC Pulse,2021-11-17,23,32
78,8874,230,APAC Pulse,2024-08-11,70,4
79,2227,66,Dance/Electronic 40,2018-09-19,36,13
80,13443,162,Urban Chart,2016-04-06,161,24
81,14403,227,Alternative 50,2022-11-30,65,10
82,9026,96,APAC Pulse,2022-04-30,153,28
83,5046,160,Global Weekly,2017-05-17,141,19
84,12656,196,APAC Pulse,2022-03-03,72,48
85,3826,60,Latin Beats,2017-05-10,83,18
86,14246,147,Urban Chart,2024-05-26,157,43
87,4249,193,Urban Chart,2024-06-16,61,4
88,10092,149,Urban Chart,2022-12-16,5,52
89,13295,128,Dance/Electronic 40,2022-02-02,145,6
90,4076,44,Global Weekly,2020-11-12,20,44
91,2430,22,Latin Beats,2022-04-06,16,42
92,3141,210,Latin Beats,2021-06-09,127,52
93,1618,242,Global Weekly,2022-04-29,89,1
94,8246,237,Urban Chart,2024-01-16,3,15
95,11860,211,US Hot 100,2021-11-25,53,32
96,5493,178,Global Weekly,2024-09-24,91,47
97,212,212,US Hot 100,2019-01-16,47,40
98,10756,122,US Hot 100,2024-08-10,127,43
99,7853,8,EU Top 200,2024-12-29,178,5
100,11547,21,Alternative 50,2022-08-25,46,48
101,2992,46,Urban Chart,2018-01-06,115,42
102,2733,77,Urban Chart,2023-01-07,145,42
103,10029,95,Latin Beats,2024-07-14,5,35
104,8152,4,Dance/Electronic 40,2016-11-30,84,52
105,9655,112,Dance/Electronic 40,2020-03-04,108,24
106,13823,82,Urban Chart,2023-10-07,154,20
107,2751,96,Latin Beats,2018-01-28,58,15
108,14527,85,Dance/Electronic 40,2020-12-30,183,3
