playlist_entry_id,user_id,playlist_name,track_id,platform,added_date
1,user_00063,Late Night Crimson,3157,SoundBridge,2022-03-14
2,user_00063,Late Night Crimson,749,SoundBridge,2018-04-08
3,user_00063,Late Night Crimson,2367,SoundBridge,2018-10-27
4,user_00063,Late Night Crimson,903,SoundBridge,2020-01-04
5,user_00063,Late Night Crimson,1062,SoundBridge,2024-03-23
6,user_00063,Late Night Crimson,12929,SoundBridge,2021-07-04
7,user_00063,Late Night Crimson,2358,SoundBridge,2023-09-14
8,user_00063,Late Night Crimson,12423,SoundBridge,2021-02-28
9,user_00063,Late Night Crimson,12721,SoundBridge,2018-08-08
10,user_00063,Late Night Crimson,7186,SoundBridge,2019-04-22
11,user_00063,Late Night Crimson,179,SoundBridge,2020-05-29
12,user_00063,Late Night Crimson,14034,SoundBridge,2020-01-18
13,user_00063,Late Night Crimson,3328,SoundBridge,2021-04-02
14,user_00063,Late Night Crimson,8272,SoundBridge,2022-04-07
15,user_00063,Late Night Crimson,927,SoundBridge,2020-03-14
16,user_00063,Late Night Crimson,3027,SoundBridge,2021-08-24
17,user_00063,Late Night Crimson,14606,SoundBridge,2023-04-27
18,user_00063,Late Night Crimson,3439,SoundBridge,2020-05-23
19,user_00063,Late Night Crimson,11638,SoundBridge,2019-11-25
20,user_00006,Throwback Silver,10272,Melodex,2023-04-08
21,user_00006,Throwback Silver,9527,Melodex,2022-12-28
22,user_00006,Throwback Silver,9380,Melodex,2023-07-02
23,user_00006,Throwback Silver,7737,Melodex,2024-08-27
24,user_00006,Throwback Silver,946,Melodex,2019-03-08
25,user_00006,Throwback Silver,13418,Melodex,2019-04-12
26,user_00006,Throwback Silver,4483,Melodex,2021-03-21
27,user_00006,Throwback Silver,9796,Melodex,2020-08-17
28,user_00884,Party Vanished,4218,AudioNow,2019-04-15
29,user_00884,Party Vanished,7812,AudioNow,2020-07-02
30,user_00884,Party Vanished,12357,AudioNow,2024-01-05
31,user_00884,Party Vanished,12642,AudioNow,2021-01-02
32,user_00884,Party Vanished,8778,AudioNow,2020-01-19
33,user_00884,Party Vanished,13636,AudioNow,2024-02-03
34,user_00884,Party Vanished,7272,AudioNow,2019-08-01
35,user_00884,Party Vanished,11436,AudioNow,2022-12-07
36,user_00884,Party Vanished,7829,AudioNow,2020-02-11
37,user_00884,Party Vanished,6875,AudioNow,2019-05-04
38,user_00884,Party Vanished,7649,AudioNow,2019-11-09
39,user_00884,Party Vanished,12128,AudioNow,2018-06-11
40,user_00884,Party Vanished,1184,AudioNow,2022-04-12
41,user_03229,Deep Focus Endless,4229,WavePlay,2018-07-23
42,user_03229,Deep Focus Endless,6271,WavePlay,2019-05-23
43,user_03229,Deep Focus Endless,6510,WavePlay,2018-03-12
44,user_03229,Deep Focus Endless,4690,WavePlay,2021-10-25
45,user_03229,Deep Focus Endless,855,WavePlay,2019-06-30
46,user_03229,Deep Focus Endless,10557,WavePlay,2018-05-14
47,user_03229,Deep Focus Endless,7964,WavePlay,2022-04-04
48,user_03229,Deep Focus Endless,4534,WavePlay,2018-01-21
49,user_03229,Deep Focus Endless,4176,WavePlay,2022-02-04
50,user_03437,Rainy Day Vanished,9072,AudioNow,2020-04-23
51,user_03437,Rainy Day Vanished,14770,AudioNow,2019-06-11
52,user_03437,Rainy Day Vanished,4051,AudioNow,2023-10-22
53,user_03437,Rainy Day Vanished,6263,AudioNow,2018-09-11
54,user_03437,Rainy Day Vanished,13215,AudioNow,2021-06-11
55,user_03437,Rainy Day Vanished,13619,AudioNow,2019-12-06
56,user_03437,Rainy Day Vanished,10309,AudioNow,2021-04-18
57,user_03437,Rainy Day Vanished,6383,AudioNow,2020-12-20
58,user_03437,Rainy Day Vanished,14143,AudioNow,2022-06-21
59,user_03437,Rainy Day Vanished,6534,AudioNow,2022-03-01
60,user_03437,Rainy Day Vanished,14302,AudioNow,2019-03-19
61,user_03437,Rainy Day Vanished,742,AudioNow,2019-05-28
62,user_03437,Rainy Day Vanished,14747,AudioNow,2023-06-25
63,user_03437,Rainy Day Vanished,9511,AudioNow,2023-07-26
64,user_03437,Rainy Day Vanished,11359,AudioNow,2023-03-06
65,user_03437,Rainy Day Vanished,5927,AudioNow,2023-10-10
66,user_03437,Rainy Day Vanished,230,AudioNow,2018-01-09
67,user_03437,Rainy Day Vanished,1927,AudioNow,2018-04-24
68,user_03437,Rainy Day Vanished,8429,AudioNow,2020-06-13
69,user_03437,Rainy Day Vanished,10234,AudioNow,2019-07-28
