label_id,name,country,founding_year,royalty_rate_per_stream
1,Quelborn Records,Nigeria,2006,0.0038
2,Quelver Music Group,France,1972,0.0038
3,Verun Recordings,UK,1960,0.0049
4,Drelborne Recordings,India,1977,0.006
5,Stelborn Records,Netherlands,1984,0.0057
6,Dreveld Music Group,UK,1990,0.0045
7,Tarwick Productions,Argentina,2010,0.0048
8,Soltern Entertainment,Netherlands,1959,0.0032
9,Quelsten Entertainment,Nigeria,1973,0.0079
10,Trymborn Entertainment,India,1961,0.0049
11,Kalden Label Group,Sweden,2008,0.0048
12,Halveld Recordings,France,1968,0.0064
13,Harfeld Music,Mexico,1995,0.0039
14,Stonfeld Entertainment,Canada,1984,0.0049
15,Solwick Studios,Australia,1998,0.0046
16,Velwick Records,Australia,2007,0.0032
17,Stelfeld Recordings,Brazil,1972,0.0033
18,Drevwick Productions,Argentina,2000,0.0046
19,Morborn Label Group,Brazil,2011,0.0076
20,Morwick Label Group,Canada,1971,0.0037
21,Sornfeld Studios,South Korea,1971,0.0067
22,Wynfeld Music Group,Argentina,1992,0.005
23,Ornfeld Entertainment,Canada,1987,0.0055
24,Crestwick Records,India,1962,0.0038
25,Halvord Sound,Nigeria,1998,0.0051
26,Calvwick Music,Brazil,1979,0.006
27,Halfeld Label Group,South Korea,1971,0.0079
28,Talwick Records,Sweden,2001,0.0036
29,Calwick Studios,Nigeria,1972,0.0068
30,Morsten Recordings,UK,1973,0.0052
