track_id,tempo_bpm,energy,danceability,valence,acousticness,loudness_db,instrumentalness
1,111.4,0.66,0.371,0.096,0.333,-21.79,0.816
2,196.0,0.685,0.773,0.81,0.019,-28.92,0.759
3,60.2,0.294,0.407,0.134,0.659,-20.91,0.098
4,148.9,0.682,0.3,0.279,0.306,-6.46,0.492
5,169.0,0.611,0.98,0.239,0.913,-2.39,0.718
6,65.8,0.32,0.555,0.72,0.699,-11.93,0.733
7,85.7,0.416,0.366,0.404,0.101,-5.53,0.735
8,177.5,0.451,0.175,0.57,0.21,-14.39,0.78
9,77.5,0.536,0.218,0.541,0.403,-17.86,0.38
10,178.8,0.546,0.776,0.273,0.251,-16.2,0.288
11,93.9,0.597,0.278,0.134,0.029,-6.19,0.279
12,159.0,0.388,0.98,0.876,0.284,-20.6,0.51
13,110.9,0.864,0.871,0.78,0.503,-16.3,0.917
14,97.2,0.517,0.903,0.766,0.137,-2.03,0.965
15,106.3,0.446,0.15,0.583,0.005,-28.85,0.631
16,159.5,0.788,0.357,0.057,0.856,-17.35,0.233
17,61.7,0.329,0.892,0.384,0.778,-25.17,0.697
18,156.2,0.459,0.246,0.068,0.372,-19.74,0.255
19,133.2,0.427,0.222,0.711,0.933,-15.8,0.032
20,80.0,0.716,0.486,0.651,0.216,-13.8,0.784
21,89.2,0.531,0.628,0.505,0.444,-9.95,0.98
22,154.9,0.458,0.185,0.859,0.161,-16.92,0.651
23,152.3,0.791,0.854,0.813,0.419,-29.79,0.447
24,157.7,0.301,0.684,0.127,0.003,-17.29,0.494
25,74.4,0.633,0.434,0.573,0.156,-23.43,0.247
26,84.5,0.655,0.55,0.117,0.508,-17.96,0.678
27,182.1,0.417,0.215,0.997,0.878,-11.67,0.377
28,79.6,0.906,0.344,0.513,0.596,-4.6,0.395
29,158.8,0.626,0.744,0.342,0.363,-21.23,0.063
30,97.3,0.391,0.403,0.501,0.634,-11.37,0.946
31,111.0,0.738,0.157,0.36,0.793,-4.3,0.45
32,176.2,0.593,0.772,0.008,0.296,-4.32,0.856
33,90.2,0.699,0.407,0.654,0.983,-8.72,0.562
34,151.6,0.571,0.479,0.17,0.48,-9.27,0.746
35,186.5,0.905,0.122,0.323,0.594,-10.63,0.872
36,137.6,0.884,0.278,0.207,0.345,-29.0,0.52
37,144.8,0.51,0.181,0.052,0.883,-17.49,0.433
38,88.0,0.708,0.841,0.895,0.423,-5.61,0.719
39,150.2,0.936,0.409,0.365,0.703,-14.44,0.55
40,178.7,0.757,0.419,0.847,0.465,-4.91,0.658
41,82.2,0.803,0.46,0.536,0.636,-14.42,0.791
