artist_id,name,country,primary_genre,secondary_genre,debut_year,label_id,is_active,popularity_score
ART_0001,Philip Cannon,Brunei Darussalam,Indie,Metal,2002,LBL_0010,True,0.024
ART_0002,The Kellers,USA,Metal,Electronic,2010,LBL_0032,True,0.024
ART_0003,Arroyo,Germany,Electronic,Metal,2005,LBL_0037,True,0.022
ART_0004,Joseph Obrien,USA,Classical,,1998,LBL_0043,True,0.017
ART_0005,The Brandts,USA,Indie,Electronic,2017,LBL_0014,True,0.018
ART_0006,The Hickmans,Germany,Classical,,2013,LBL_0029,False,0.017
ART_0007,Melissa Marquez,France,Rock,,1991,LBL_0038,True,0.028
ART_0008,Michael Brooks,USA,Electronic,,1993,LBL_0015,True,0.02
ART_0009,Jocelyn Wright,USA,Country,Indie,2021,LBL_0014,True,0.024
ART_0010,Alex Spencer,Namibia,Jazz,,2020,LBL_0027,True,0.055
ART_0011,The Joness,UK,R&B,,2019,LBL_0047,True,0.019
ART_0012,Crystal Whitehead,Tokelau,Metal,,1996,LBL_0016,True,0.022
ART_0013,The Riveras,Germany,Indie,,1994,LBL_0029,True,0.034
ART_0014,The Palmers,USA,Jazz,Hip-Hop,2024,LBL_0001,True,0.019
ART_0015,The Ramirezs,USA,Pop,,2020,LBL_0014,False,0.017
ART_0016,Storm Washington,Mauritius,Metal,Indie,2014,LBL_0017,True,0.02
ART_0017,Laura Kennedy,Slovenia,R&B,Pop,2021,LBL_0010,True,0.018
ART_0018,Jason Davis,UK,Pop,Jazz,1993,LBL_0004,False,0.063
ART_0019,The Hopkinss,Guinea,Indie,,2022,LBL_0006,True,0.038
ART_0020,The Hendersons,Canada,Indie,,2015,LBL_0008,False,0.028
ART_0021,Owensxx,UK,Electronic,Jazz,1995,LBL_0027,True,0.047
ART_0022,Megan Joyce,Bolivia,Country,Indie,2010,LBL_0016,True,0.038
ART_0023,The Chandlers,USA,Hip-Hop,,1994,LBL_0001,True,0.019
ART_0024,The Mcbrides,France,Pop,Classical,2006,LBL_0009,True,0.051
ART_0025,Daniel,USA,Hip-Hop,,2018,LBL_0035,True,0.025
ART_0026,The Herreras,France,R&B,,1996,LBL_0009,True,0.038
ART_0027,Clifford Ford,USA,Pop,Metal,2003,LBL_0046,True,0.052
ART_0028,Young Nancy,Belarus,Hip-Hop,Country,1993,LBL_0006,True,0.02
ART_0029,Scott,Tokelau,Hip-Hop,Jazz,2018,LBL_0036,True,0.018
ART_0030,Annette Pearson,Mauritius,Electronic,,2013,LBL_0038,True,0.019
ART_0031,Tracy House,Thailand,Indie,,1992,LBL_0023,True,0.022
ART_0032,Big Joel Baby,Germany,Hip-Hop,R&B,2016,LBL_0040,False,0.039
ART_0033,Big Richard King,Liberia,Hip-Hop,R&B,2011,LBL_0027,True,0.045
ART_0034,The Moraless,USA,R&B,Jazz,2020,LBL_0015,True,0.017
ART_0035,James Galloway,Canada,Jazz,Country,2002,LBL_0026,True,0.024
ART_0036,The Bakers,Canada,Rock,,2022,LBL_0026,False,0.022
ART_0037,Jordan Henderson,UK,Jazz,,2006,LBL_0012,True,0.019
ART_0038,The Bernards,UK,Pop,Hip-Hop,2012,LBL_0047,True,0.018
ART_0039,Kristi Higgins MD,UK,Rock,,2002,LBL_0017,True,0.021
ART_0040,The Phillipss,UK,Electronic,Rock,2002,LBL_0024,True,0.07
ART_0041,Lauren Daniels,USA,Jazz,,2009,LBL_0033,True,0.02
ART_0042,Amy Silva,USA,Indie,Hip-Hop,1998,LBL_0013,True,0.024
ART_0043,Lil Wesley King,Timor-Leste,Hip-Hop,,2009,LBL_0026,True,0.031
ART_0044,Amy Romero,Japan,Country,,2010,LBL_0030,True,0.021
ART_0045,Andrea Jones,USA,Country,Classical,2000,LBL_0043,False,0.1
ART_0046,Jennifer David,UK,Pop,,2005,LBL_0044,False,0.087
ART_0047,The Hudsons,Mozambique,Country,,2020,LBL_0040,True,0.019
ART_0048,The Wheelers,USA,Rock,,2002,LBL_0046,True,0.024
ART_0049,Blood Harvey,Canada,Metal,,1990,LBL_0049,True,0.02
ART_0050,Kevin Mills,Vietnam,Pop,Indie,2023,LBL_0030,False,0.02
ART_0051,Michael Edwards,USA,Jazz,,2019,LBL_0043,True,0.017
ART_0052,The Bakers,Germany,Pop,,2018,LBL_0040,True,0.027
ART_0053,Storm Anderson,USA,Metal,Electronic,2018,LBL_0011,True,0.024
ART_0054,Brewerx,USA,Electronic,Jazz,2023,LBL_0032,True,0.017
ART_0055,Timothy Walls,Algeria,Country,,2010,LBL_0035,True,0.02
ART_0056,Zachary Ferrell,USA,Pop,,2003,LBL_0005,False,0.055
ART_0057,Charles,Japan,R&B,Classical,2016,LBL_0025,True,0.019
ART_0058,The Lewiss,France,Rock,R&B,2012,LBL_0020,True,0.018
ART_0059,The Bakers,USA,Indie,,2024,LBL_0039,True,0.024
ART_0060,The Mahoneys,USA,Rock,Indie,2014,LBL_0022,True,0.14
ART_0061,The Ibarras,France,Rock,Hip-Hop,2024,LBL_0002,True,0.019
ART_0062,Jaclyn Moore,Syrian Arab Republic,Pop,,1998,LBL_0030,True,0.029
ART_0063,Danielsx,Canada,Electronic,Country,2011,LBL_0049,True,0.034
ART_0064,Turner,France,Electronic,,2020,LBL_0002,True,0.019
ART_0065,Dr. Kendra Contreras,Micronesia,Pop,Jazz,1992,LBL_0049,True,0.032
ART_0066,The Alvarados,USA,R&B,,2020,LBL_0043,True,0.021
ART_0067,The Mcmillans,UK,Jazz,,1997,LBL_0050,False,0.028
ART_0068,Taylorx,Germany,Electronic,Rock,2009,LBL_0037,True,0.028
ART_0069,The Wilsons,Japan,Jazz,Rock,2005,LBL_0007,True,0.025
ART_0070,Young Daniel,UK,Hip-Hop,,1992,LBL_0023,True,0.018
ART_0071,Denise Jacobs,Japan,Electronic,,2021,LBL_0007,True,0.041
ART_0072,Christina Walters,UK,Rock,Metal,2001,LBL_0047,True,0.02
ART_0073,The Bakers,USA,Rock,,2019,LBL_0028,True,0.019
ART_0074,The Freemans,United Kingdom,Indie,,1995,LBL_0018,True,0.017
ART_0075,The Odonnells,Austria,Metal,,2014,LBL_0022,True,0.026
ART_0076,Young Christopher,USA,Hip-Hop,,2011,LBL_0018,True,0.03
ART_0077,Big Rodney Prince,USA,Hip-Hop,,2016,LBL_0032,True,0.017
ART_0078,Aaron Wise,USA,Country,,1995,LBL_0019,True,0.024
ART_0079,Deborah Figueroa,UK,Jazz,Classical,2020,LBL_0036,True,0.019
ART_0080,Jessica Smith,Belarus,Pop,Classical,2019,LBL_0018,False,0.028
ART_0081,The Landrys,Portugal,Rock,Country,2024,LBL_0049,True,0.018
ART_0082,Kimberly Davenport,Myanmar,Classical,,2023,LBL_0039,True,0.03
ART_0083,Jessica Williams,France,Country,,2001,LBL_0020,True,0.021
ART_0084,The Diazs,USA,Pop,Hip-Hop,2008,LBL_0045,True,0.067
ART_0085,Valerie Williams,Japan,Rock,Country,2008,LBL_0031,True,0.018
ART_0086,The Howards,Canada,Rock,,2020,LBL_0008,True,0.021
ART_0087,Mary Gomez,USA,Country,,1993,LBL_0010,True,0.018
ART_0088,The Castros,UK,Pop,Electronic,1997,LBL_0036,True,0.061
ART_0089,The Baxters,Niger,Pop,,2014,LBL_0029,True,0.048
ART_0090,Lil Kara Baby,Germany,R&B,,1993,LBL_0040,False,0.02
ART_0091,Cynthia Martin,South Georgia and the South Sandwich Islands,Rock,,2005,LBL_0012,True,0.029
ART_0092,Sierra Johnson,Saint Pierre and Miquelon,Country,,2020,LBL_0019,True,0.039
ART_0093,Rachel Jenkins,Paraguay,Rock,Electronic,1994,LBL_0044,True,0.025
ART_0094,The Shieldss,USA,Pop,Hip-Hop,2024,LBL_0015,False,0.024
ART_0095,The Cochrans,USA,Rock,,2009,LBL_0039,False,0.019
ART_0096,Richard Rodriguez,Tunisia,Classical,,2009,LBL_0045,True,0.018
ART_0097,The Williamss,USA,Indie,,1992,LBL_0028,True,0.052
ART_0098,Young Thomas,Canada,R&B,,1991,LBL_0049,True,0.053
ART_0099,Hannah Hoover,USA,Hip-Hop,,2018,LBL_0018,False,0.028
ART_0100,Courtney Keller,UK,Country,Classical,2012,LBL_0027,True,0.021
ART_0101,The Rosss,USA,Rock,Pop,2021,LBL_0019,True,0.021
ART_0102,The Joness,UK,Hip-Hop,,2010,LBL_0017,True,0.032
ART_0103,Heather Hicks,Philippines,Indie,,2024,LBL_0030,True,0.052
ART_0104,Ms. Teresa Wilson,Eritrea,Pop,,2018,LBL_0049,True,0.05
ART_0105,Victor Baker,Canada,Pop,Jazz,2021,LBL_0008,True,0.036
ART_0106,Jeffrey Chandler,Germany,Rock,Hip-Hop,1990,LBL_0036,True,0.028
ART_0107,The Grahams,USA,Pop,Metal,1997,LBL_0042,True,0.018
ART_0108,The Joyces,Brazil,Rock,,2016,LBL_0031,True,0.018
ART_0109,The Cruzs,UK,Country,,2022,LBL_0048,True,0.053
ART_0110,The Rays,USA,Jazz,Country,2016,LBL_0022,True,0.027
ART_0111,Michael Smith,USA,Indie,,2021,LBL_0010,True,0.017
ART_0112,Big Sara Baby,Japan,R&B,,2014,LBL_0030,True,0.018
ART_0113,DJ Amanda Prince,Germany,Hip-Hop,Jazz,1992,LBL_0021,True,0.029
ART_0114,Natalie Lambert,France,Rock,Indie,1992,LBL_0009,False,0.017
ART_0115,DJ Michael Baby,Bangladesh,Hip-Hop,Country,2019,LBL_0001,True,0.018
ART_0116,Tammie Hanson,USA,Country,Metal,2015,LBL_0042,True,0.025
ART_0117,DJ Elizabeth,Canada,Hip-Hop,,2010,LBL_0041,True,0.03
ART_0118,The Martinezs,USA,Country,,2008,LBL_0015,True,0.028
ART_0119,Katie Estrada,Greece,Jazz,,1996,LBL_0029,True,0.019
ART_0120,Edward Martinez,Italy,Electronic,,1993,LBL_0019,True,0.031
ART_0121,Jamie Adkins,USA,Jazz,,2001,LBL_0011,True,0.019
ART_0122,Jennifer Bass,Gabon,Hip-Hop,,2021,LBL_0038,False,0.02
ART_0123,Iron Mitchell,Jersey,Metal,Electronic,2019,LBL_0019,True,0.033
ART_0124,The Lawsons,Gibraltar,R&B,,2017,LBL_0045,True,0.028
ART_0125,Jeremy Lewis,Japan,Pop,Country,2005,LBL_0025,False,0.043
ART_0126,Steven Flynn,USA,Indie,Pop,2015,LBL_0018,True,0.029
ART_0127,Jackson,USA,Electronic,,2021,LBL_0019,True,0.026
ART_0128,The Millers,UK,Indie,Hip-Hop,2006,LBL_0044,True,0.018
ART_0129,Lil Zachary King,France,R&B,,1992,LBL_0020,True,0.021
ART_0130,Frances Cardenas,UK,Jazz,Classical,2016,LBL_0012,True,0.02
ART_0131,Megan Walker,USA,Pop,,2007,LBL_0011,True,0.019
ART_0132,David Alvarez,Canada,Hip-Hop,,2011,LBL_0008,True,0.102
ART_0133,The Atkinsons,Barbados,Electronic,,2015,LBL_0036,True,0.022
ART_0134,Stephen Johnston,France,Country,,2006,LBL_0038,True,0.051
ART_0135,The Higginss,France,Rock,,2020,LBL_0002,True,0.028
ART_0136,The Cruzs,Canada,Pop,,1994,LBL_0041,True,0.037
ART_0137,Young Reginald Prince,Cameroon,R&B,,1998,LBL_0003,True,0.024
ART_0138,The Douglass,Japan,Metal,,2014,LBL_0030,True,0.026
ART_0139,Smithx,UK,Electronic,Country,1999,LBL_0027,False,0.024
ART_0140,Patricia Rodriguez,USA,Rock,Hip-Hop,2013,LBL_0014,True,0.019
ART_0141,Young Ronald,USA,Hip-Hop,,2013,LBL_0035,False,0.032
ART_0142,The Thompsons,USA,Pop,,2019,LBL_0006,False,0.02
ART_0143,The Rubios,Germany,Indie,,2011,LBL_0016,True,0.017
ART_0144,Amber Wright,France,Pop,,2003,LBL_0038,False,0.028
ART_0145,Charles,USA,Electronic,,1990,LBL_0018,True,0.019
ART_0146,Big Stephen,USA,Hip-Hop,Classical,1997,LBL_0043,False,0.069
ART_0147,Mary Travis,Nepal,Electronic,,2006,LBL_0004,True,0.078
ART_0148,Pedro Ramos,USA,Country,,2013,LBL_0033,True,0.058
ART_0149,The Mcclains,Japan,R&B,,2023,LBL_0020,True,0.021
ART_0150,The Rivass,USA,Rock,Classical,1996,LBL_0032,True,0.017
ART_0151,Stephanie Manning,France,Pop,,1994,LBL_0009,True,0.063
ART_0152,David Wright,USA,Pop,,2023,LBL_0019,True,0.022
ART_0153,Pamela Boyd,Niue,Indie,,2003,LBL_0028,True,0.092
ART_0154,Jeremiah Reeves,UK,Indie,Country,2016,LBL_0047,True,0.088
