award_id,artist_id,track_id,award_name,category,year,won
AWD_0001,ART_0105,TRK_00652,Sound & Vision Prize,Best Album,2024,True
AWD_0002,ART_0389,,Streaming Record Award,Top Producer,2024,True
AWD_0003,ART_0496,TRK_04832,Billboard Award,Breakthrough Artist,2024,True
AWD_0004,ART_0414,,Global Music Award,Best Collaboration,2019,True
AWD_0005,ART_0438,TRK_01222,Global Music Award,Best Rock Album,2017,True
AWD_0006,ART_0618,,Sound & Vision Prize,Best Collaboration,2021,True
AWD_0007,ART_0415,TRK_04034,Streaming Record Award,Breakthrough Artist,2012,True
AWD_0008,ART_0296,,Global Music Award,Breakthrough Artist,2018,True
AWD_0009,ART_0650,,Golden Mic,Best Rock Album,2023,False
AWD_0010,ART_0305,TRK_02646,Global Music Award,Best Rock Album,2023,True
AWD_0011,ART_0167,,Billboard Award,Best Pop Artist,2010,False
AWD_0012,ART_0437,TRK_05279,Sound & Vision Prize,Best Collaboration,2023,True
AWD_0013,ART_0437,,Global Music Award,Best New Artist,2016,True
AWD_0014,ART_0437,,Billboard Award,Best Album,2023,True
AWD_0015,ART_0272,TRK_04393,Sound & Vision Prize,Breakthrough Artist,2015,True
AWD_0016,ART_0437,,Golden Mic,Best Album,2019,True
AWD_0017,ART_0293,,Streaming Record Award,Best Collaboration,2013,False
AWD_0018,ART_0437,,Sound & Vision Prize,Best Album,2019,False
AWD_0019,ART_0391,,Artist of the Year,Best Rock Album,2022,True
AWD_0020,ART_0144,TRK_00038,Global Music Award,Breakthrough Artist,2020,True
AWD_0021,ART_0437,,Sound & Vision Prize,Song of the Year,2023,True
AWD_0022,ART_0129,,Billboard Award,Top Producer,2012,True
AWD_0023,ART_0437,TRK_01904,Golden Mic,Top Producer,2011,True
AWD_0024,ART_0202,TRK_05770,Global Music Award,Best Rock Album,2020,True
AWD_0025,ART_0437,TRK_00090,Billboard Award,Best New Artist,2019,False
AWD_0026,ART_0377,TRK_05208,Golden Mic,Best Pop Artist,2016,True
AWD_0027,ART_0405,TRK_00392,Sound & Vision Prize,Breakthrough Artist,2011,True
AWD_0028,ART_0437,,Global Music Award,Best Rock Album,2012,True
AWD_0029,ART_0438,,Sound & Vision Prize,Best Collaboration,2021,True
AWD_0030,ART_0437,,Artist of the Year,Best New Artist,2024,True
AWD_0031,ART_0032,TRK_03424,Artist of the Year,Best Rock Album,2019,False
AWD_0032,ART_0680,,Artist of the Year,Best Rock Album,2018,True
AWD_0033,ART_0437,,Streaming Record Award,Breakthrough Artist,2020,True
AWD_0034,ART_0437,,Streaming Record Award,Top Producer,2019,True
AWD_0035,ART_0404,,Streaming Record Award,Best Album,2010,True
AWD_0036,ART_0437,,Sound & Vision Prize,Best Rock Album,2017,True
AWD_0037,ART_0272,TRK_02344,Global Music Award,Best Rock Album,2016,False
