chart_id,track_id,artist_id,chart_name,week_date,peak_position,current_position,weeks_on_chart,movement
CHT_00001,TRK_03933,ART_0355,Top 100 Global,2025-10-15,12,12,34,28
CHT_00002,TRK_05923,ART_0377,Viral 50,2024-07-30,64,83,4,23
CHT_00003,TRK_04380,ART_0406,Top Streaming,2014-03-08,82,90,1,19
CHT_00004,TRK_05180,ART_0175,New Music Friday,2025-07-15,41,44,3,-4
CHT_00005,TRK_05145,ART_0100,Indie Spotlight,2025-10-21,60,71,3,-9
CHT_00006,TRK_04955,ART_0089,Top Streaming,2026-04-05,1,11,2,2
CHT_00007,TRK_03933,ART_0355,Weekend Anthems,2025-07-30,19,31,4,-17
CHT_00008,TRK_05505,ART_0135,Top 100 Global,2024-10-25,24,36,7,-13
CHT_00009,TRK_00129,ART_0311,Weekend Anthems,2022-03-17,8,24,12,-13
CHT_00010,TRK_05923,ART_0377,Hot 100,2025-10-14,24,36,10,-13
CHT_00011,TRK_05505,ART_0135,Top Streaming,2025-04-04,24,42,24,-3
CHT_00012,TRK_01461,ART_0626,Weekend Anthems,2024-12-09,82,100,25,-23
CHT_00013,TRK_04804,ART_0155,Indie Spotlight,2026-01-31,87,100,2,30
CHT_00014,TRK_04955,ART_0089,Viral 50,2026-03-29,2,20,18,-3
CHT_00015,TRK_05798,ART_0458,Top 100 Global,2024-07-08,84,96,3,27
CHT_00016,TRK_00129,ART_0311,Top Streaming,2024-11-21,5,15,7,-8
CHT_00017,TRK_03933,ART_0355,Hot 100,2026-04-01,19,37,33,11
CHT_00018,TRK_04955,ART_0089,Viral 50,2026-03-22,6,9,26,-9
CHT_00019,TRK_03933,ART_0355,Viral 50,2026-01-21,6,24,5,-23
CHT_00020,TRK_05956,ART_0229,Hot 100,2024-09-19,85,93,3,6
CHT_00021,TRK_00129,ART_0311,Viral 50,2024-03-07,23,26,3,17
CHT_00022,TRK_00129,ART_0311,Top 100 Global,2025-02-20,29,32,25,19
CHT_00023,TRK_05505,ART_0135,Weekend Anthems,2025-08-01,24,29,24,7
CHT_00024,TRK_00807,ART_0623,Indie Spotlight,2021-12-04,60,77,1,-11
CHT_00025,TRK_05505,ART_0135,Top 100 Global,2026-03-13,14,14,22,17
CHT_00026,TRK_04955,ART_0089,Viral 50,2026-04-26,4,18,18,-17
CHT_00027,TRK_05839,ART_0230,Top Streaming,2026-01-16,69,70,2,5
CHT_00028,TRK_05478,ART_0655,Top 100 Global,2026-02-22,42,59,28,-2
CHT_00029,TRK_05667,ART_0154,Top Streaming,2024-05-19,88,100,17,-7
CHT_00030,TRK_03351,ART_0414,New Music Friday,2025-05-30,62,74,7,-4
CHT_00031,TRK_02953,ART_0442,New Music Friday,2024-07-16,74,78,4,-27
CHT_00032,TRK_00531,ART_0437,New Music Friday,2026-01-04,47,59,12,18
CHT_00033,TRK_04455,ART_0068,Weekend Anthems,2023-09-05,21,21,2,11
CHT_00034,TRK_05505,ART_0135,Weekend Anthems,2026-01-23,24,26,3,-4
CHT_00035,TRK_04003,ART_0069,Hot 100,2024-08-10,59,61,2,30
CHT_00036,TRK_03397,ART_0217,New Music Friday,2026-04-27,34,36,6,-3
CHT_00037,TRK_05663,ART_0243,New Music Friday,2026-02-21,99,100,19,-18
CHT_00038,TRK_00457,ART_0627,Indie Spotlight,2026-04-27,51,58,2,-27
CHT_00039,TRK_05505,ART_0135,New Music Friday,2026-01-23,21,33,1,2
CHT_00040,TRK_04641,ART_0012,Weekend Anthems,2024-03-13,83,97,5,14
CHT_00041,TRK_00129,ART_0311,Top Streaming,2022-06-30,16,36,4,-23
CHT_00042,TRK_04136,ART_0295,Hot 100,2019-08-26,94,95,2,-15
CHT_00043,TRK_00129,ART_0311,Top Streaming,2024-07-25,16,29,1,9
CHT_00044,TRK_01871,ART_0437,Hot 100,2026-04-03,83,92,3,22
CHT_00045,TRK_04955,ART_0089,Top 100 Global,2026-03-29,6,9,15,3
CHT_00046,TRK_03933,ART_0355,Indie Spotlight,2025-11-19,8,19,13,25
CHT_00047,TRK_05810,ART_0071,Hot 100,2026-04-27,56,63,6,-12
CHT_00048,TRK_02502,ART_0649,Viral 50,2025-02-07,39,42,7,-15
CHT_00049,TRK_01767,ART_0588,Weekend Anthems,2010-11-21,27,32,1,-13
CHT_00050,TRK_03397,ART_0217,Viral 50,2026-04-27,84,91,8,-19
CHT_00051,TRK_03933,ART_0355,Viral 50,2026-02-11,25,39,20,13
CHT_00052,TRK_01182,ART_0423,Viral 50,2023-10-08,96,100,10,-23
CHT_00053,TRK_00457,ART_0627,Viral 50,2026-04-27,76,78,5,-1
CHT_00054,TRK_03933,ART_0355,Hot 100,2026-01-28,20,30,4,5
CHT_00055,TRK_03131,ART_0532,Viral 50,2026-04-27,91,100,1,0
CHT_00056,TRK_05809,ART_0154,Viral 50,2025-03-31,32,35,1,-4
CHT_00057,TRK_01624,ART_0004,Weekend Anthems,2019-01-09,71,73,8,-27
CHT_00058,TRK_02472,ART_0454,New Music Friday,2026-01-08,22,37,1,-12
CHT_00059,TRK_04955,ART_0089,Viral 50,2026-04-12,9,27,7,17
CHT_00060,TRK_04128,ART_0437,Weekend Anthems,2026-04-27,24,43,2,-30
CHT_00061,TRK_03900,ART_0400,Top 100 Global,2023-11-28,50,57,4,-24
CHT_00062,TRK_02915,ART_0141,Weekend Anthems,2026-02-01,99,100,1,28
CHT_00063,TRK_05505,ART_0135,Weekend Anthems,2025-08-08,5,13,25,-5
CHT_00064,TRK_00531,ART_0437,Weekend Anthems,2025-10-26,62,81,36,-15
CHT_00065,TRK_05713,ART_0026,Top Streaming,2025-11-09,68,84,15,2
CHT_00066,TRK_04955,ART_0089,New Music Friday,2026-03-22,1,4,38,12
CHT_00067,TRK_05876,ART_0099,New Music Friday,2025-06-28,20,33,9,-13
CHT_00068,TRK_00129,ART_0311,Top Streaming,2023-06-29,21,23,13,12
CHT_00069,TRK_04955,ART_0089,Hot 100,2026-04-19,8,21,8,29
CHT_00070,TRK_01461,ART_0626,Top 100 Global,2022-12-05,92,100,1,20
