collab_id,track_id,primary_artist_id,featured_artist_id,collab_type
COL_0001,TRK_00002,ART_0384,ART_0090,Featured
COL_0002,TRK_02394,ART_0437,ART_0216,Producer
COL_0003,TRK_02292,ART_0499,ART_0667,Featured
COL_0004,TRK_00738,ART_0516,ART_0374,Featured
COL_0005,TRK_02870,ART_0442,ART_0562,Featured
COL_0006,TRK_00415,ART_0474,ART_0237,Featured
COL_0007,TRK_02615,ART_0424,ART_0360,Remix
COL_0008,TRK_01949,ART_0458,ART_0470,Featured
COL_0009,TRK_03489,ART_0071,ART_0627,Featured
COL_0010,TRK_01176,ART_0331,ART_0223,Featured
COL_0011,TRK_04216,ART_0028,ART_0067,Featured
COL_0012,TRK_01683,ART_0368,ART_0191,Featured
COL_0013,TRK_05956,ART_0229,ART_0672,Featured
COL_0014,TRK_01344,ART_0286,ART_0129,Featured
COL_0015,TRK_01182,ART_0423,ART_0392,Featured
COL_0016,TRK_01056,ART_0480,ART_0029,Featured
COL_0017,TRK_02345,ART_0437,ART_0048,Featured
COL_0018,TRK_04680,ART_0176,ART_0376,Featured
COL_0019,TRK_05553,ART_0465,ART_0055,Featured
COL_0020,TRK_05317,ART_0394,ART_0275,Featured
COL_0021,TRK_01806,ART_0520,ART_0165,Producer
COL_0022,TRK_01114,ART_0437,ART_0238,Featured
COL_0023,TRK_04933,ART_0270,ART_0536,Remix
COL_0024,TRK_04054,ART_0296,ART_0258,Producer
COL_0025,TRK_03510,ART_0489,ART_0380,Featured
COL_0026,TRK_00206,ART_0109,ART_0182,Remix
COL_0027,TRK_04233,ART_0539,ART_0229,Featured
COL_0028,TRK_01182,ART_0423,ART_0356,Remix
COL_0029,TRK_00678,ART_0300,ART_0315,Remix
COL_0030,TRK_03375,ART_0421,ART_0214,Featured
COL_0031,TRK_01244,ART_0178,ART_0677,Remix
COL_0032,TRK_03933,ART_0355,ART_0103,Featured
COL_0033,TRK_04445,ART_0499,ART_0655,Remix
COL_0034,TRK_00129,ART_0311,ART_0656,Featured
COL_0035,TRK_04527,ART_0110,ART_0586,Featured
COL_0036,TRK_02099,ART_0309,ART_0218,Featured
COL_0037,TRK_02099,ART_0309,ART_0177,Featured
COL_0038,TRK_01355,ART_0158,ART_0179,Remix
COL_0039,TRK_00090,ART_0437,ART_0577,Featured
COL_0040,TRK_02563,ART_0458,ART_0479,Remix
COL_0041,TRK_02645,ART_0287,ART_0452,Featured
COL_0042,TRK_05010,ART_0691,ART_0478,Featured
COL_0043,TRK_04376,ART_0646,ART_0217,Featured
COL_0044,TRK_04516,ART_0486,ART_0376,Remix
COL_0045,TRK_05749,ART_0611,ART_0570,Featured
COL_0046,TRK_03896,ART_0331,ART_0143,Featured
COL_0047,TRK_02798,ART_0437,ART_0696,Featured
COL_0048,TRK_00005,ART_0073,ART_0361,Remix
COL_0049,TRK_04876,ART_0423,ART_0348,Featured
COL_0050,TRK_05403,ART_0423,ART_0685,Featured
COL_0051,TRK_00377,ART_0409,ART_0394,Featured
COL_0052,TRK_02155,ART_0693,ART_0662,Featured
COL_0053,TRK_01831,ART_0578,ART_0418,Remix
COL_0054,TRK_02716,ART_0657,ART_0614,Featured
COL_0055,TRK_00150,ART_0572,ART_0605,Remix
COL_0056,TRK_05018,ART_0112,ART_0384,Featured
COL_0057,TRK_03471,ART_0530,ART_0206,Featured
COL_0058,TRK_02581,ART_0327,ART_0352,Remix
COL_0059,TRK_04613,ART_0520,ART_0110,Featured
COL_0060,TRK_00131,ART_0001,ART_0517,Featured
COL_0061,TRK_01355,ART_0158,ART_0644,Featured
COL_0062,TRK_00405,ART_0388,ART_0376,Remix
COL_0063,TRK_05258,ART_0568,ART_0249,Remix
COL_0064,TRK_02922,ART_0016,ART_0461,Remix
COL_0065,TRK_01604,ART_0483,ART_0016,Producer
COL_0066,TRK_03732,ART_0236,ART_0234,Featured
COL_0067,TRK_03259,ART_0679,ART_0029,Producer
COL_0068,TRK_03787,ART_0259,ART_0448,Featured
COL_0069,TRK_01460,ART_0623,ART_0062,Featured
COL_0070,TRK_04545,ART_0140,ART_0009,Featured
COL_0071,TRK_04476,ART_0202,ART_0351,Featured
COL_0072,TRK_03581,ART_0405,ART_0064,Featured
COL_0073,TRK_02639,ART_0437,ART_0698,Featured
COL_0074,TRK_02324,ART_0047,ART_0644,Remix
COL_0075,TRK_05660,ART_0554,ART_0676,Featured
COL_0076,TRK_04472,ART_0212,ART_0192,Producer
COL_0077,TRK_04458,ART_0597,ART_0619,Featured
COL_0078,TRK_00220,ART_0219,ART_0286,Featured
COL_0079,TRK_03200,ART_0627,ART_0657,Featured
COL_0080,TRK_01793,ART_0623,ART_0522,Remix
COL_0081,TRK_02947,ART_0314,ART_0693,Featured
COL_0082,TRK_00123,ART_0467,ART_0056,Producer
COL_0083,TRK_04010,ART_0267,ART_0049,Featured
COL_0084,TRK_02672,ART_0446,ART_0097,Featured
COL_0085,TRK_04448,ART_0295,ART_0580,Featured
COL_0086,TRK_01033,ART_0233,ART_0213,Featured
COL_0087,TRK_00105,ART_0437,ART_0293,Remix
COL_0088,TRK_00344,ART_0112,ART_0061,Featured
COL_0089,TRK_02800,ART_0426,ART_0280,Remix
COL_0090,TRK_04172,ART_0134,ART_0358,Featured
COL_0091,TRK_02256,ART_0611,ART_0535,Featured
