playlist_entry_id,user_id,playlist_name,track_id,platform,added_date,position,is_public
PLE_00001,USR_00012,Sleep Interesting,TRK_02501,Spotify,2025-04-14,29,True
PLE_00002,USR_00203,Party Rich,TRK_04939,Apple Music,2026-04-11,41,True
PLE_00003,USR_00319,Vibes City,TRK_02140,Apple Music,2025-01-22,87,True
PLE_00004,USR_00125,Vibes Usually,TRK_05627,Apple Music,2020-07-26,5,True
PLE_00005,USR_00417,Focus Performance,TRK_02424,Amazon Music,2023-11-24,35,True
PLE_00006,USR_00478,Party Claim,TRK_05666,Spotify,2026-04-27,94,True
PLE_00007,USR_00050,Chill Week,TRK_00014,Tidal,2020-03-15,92,True
PLE_00008,USR_00412,Chill Growth,TRK_00019,Spotify,2025-11-08,96,True
PLE_00009,USR_00074,Party Rich,TRK_02412,Amazon Music,2026-01-25,14,True
PLE_00010,USR_00067,Focus Free,TRK_02782,Spotify,2026-04-26,47,True
PLE_00011,USR_00429,Chill Central,TRK_05570,Apple Music,2019-10-31,11,True
PLE_00012,USR_00121,Workout Skin,TRK_03041,Apple Music,2018-10-19,64,False
PLE_00013,USR_00145,Chill Campaign,TRK_01517,Spotify,2026-03-14,84,True
PLE_00014,USR_00320,Workout Skin,TRK_03593,YouTube Music,2026-04-27,91,True
PLE_00015,USR_00387,Vibes Other,TRK_05394,Amazon Music,2024-07-19,55,True
PLE_00016,USR_00152,Focus Mission,TRK_00531,Tidal,2026-02-18,88,True
PLE_00017,USR_00057,Study Live,TRK_02305,YouTube Music,2024-04-17,4,True
PLE_00018,USR_00302,Focus Hour,TRK_01109,Amazon Music,2026-04-25,86,True
PLE_00019,USR_00425,Study Morning,TRK_03490,Apple Music,2025-06-22,39,False
PLE_00020,USR_00253,Party Argue,TRK_05288,Spotify,2026-04-27,56,True
PLE_00021,USR_00069,Chill Read,TRK_04219,Amazon Music,2019-09-19,71,False
PLE_00022,USR_00348,Vibes Economy,TRK_05504,YouTube Music,2005-05-29,68,False
