royalty_id,track_id,artist_id,label_id,quarter,streams_credited,rate_per_stream,gross_revenue_usd,label_cut_usd,artist_payout_usd
ROY_00001,TRK_05953,ART_0460,LBL_0024,Q4-2024,875000,0.00568,4970.0,3479.0,1491.0
ROY_00002,TRK_05720,ART_0231,LBL_0050,Q3-2023,850000,0.00503,4275.5,2992.85,1282.65
ROY_00003,TRK_00297,ART_0082,LBL_0039,Q4-2024,950000,0.00361,3429.5,2400.65,1028.85
ROY_00004,TRK_01395,ART_0677,LBL_0005,Q2-2023,975000,0.00673,6561.75,4593.22,1968.52
ROY_00005,TRK_02334,ART_0482,LBL_0048,Q1-2023,1825000,0.00605,11041.25,7728.87,3312.38
ROY_00006,TRK_03285,ART_0230,LBL_0042,Q3-2024,800000,0.00401,3208.0,2245.6,962.4
ROY_00007,TRK_04810,ART_0503,LBL_0001,Q3-2023,4925000,0.00456,22458.0,15720.6,6737.4
ROY_00008,TRK_01624,ART_0004,LBL_0043,Q4-2023,3574999,0.00572,20448.99,14314.3,6134.7
ROY_00009,TRK_03784,ART_0608,LBL_0009,Q4-2024,950000,0.00388,3686.0,2580.2,1105.8
ROY_00010,TRK_03900,ART_0400,LBL_0045,Q3-2024,1350000,0.00436,5886.0,4120.2,1765.8
ROY_00011,TRK_04228,ART_0630,LBL_0019,Q2-2024,3275000,0.00377,12346.75,8642.72,3704.02
ROY_00012,TRK_01189,ART_0379,LBL_0002,Q4-2023,1450000,0.00538,7801.0,5460.7,2340.3
ROY_00013,TRK_03527,ART_0370,LBL_0011,Q4-2024,1150000,0.00579,6658.5,4660.95,1997.55
ROY_00014,TRK_04276,ART_0437,LBL_0003,Q2-2024,950000,0.0047,4465.0,3125.5,1339.5
ROY_00015,TRK_03724,ART_0497,LBL_0008,Q1-2023,825000,0.00524,4323.0,3026.1,1296.9
ROY_00016,TRK_02200,ART_0273,LBL_0019,Q1-2024,950000,0.00377,3581.5,2507.05,1074.45
ROY_00017,TRK_05669,ART_0201,LBL_0036,Q1-2024,1525000,0.00534,8143.5,5700.45,2443.05
