stream_id,track_id,artist_id,region,platform,stream_date,stream_count,skip_rate,completion_rate
STR_000001,TRK_03253,ART_0211,HT,Amazon Music,2026-04-27,40000,0.17,0.538
STR_000002,TRK_00426,ART_0141,GA,Amazon Music,2025-12-20,212000,0.256,0.827
STR_000003,TRK_00007,ART_0272,ID,Spotify,2022-04-19,33000,0.208,0.886
STR_000004,TRK_02537,ART_0350,SN,Spotify,2023-09-30,31000,0.344,0.938
STR_000005,TRK_02255,ART_0227,GH,YouTube Music,2025-11-28,61000,0.133,0.958
STR_000006,TRK_03983,ART_0520,FR,YouTube Music,2013-01-02,66000,0.463,0.839
STR_000007,TRK_00129,ART_0311,RU,Apple Music,2022-07-11,804000,0.249,0.914
STR_000008,TRK_05180,ART_0175,GQ,Apple Music,2024-09-22,104000,0.098,0.77
STR_000009,TRK_01683,ART_0368,MH,Spotify,2026-04-27,131000,0.086,0.966
STR_000010,TRK_05047,ART_0138,MR,Spotify,2025-10-18,51000,0.114,0.955
STR_000011,TRK_02326,ART_0147,FM,Spotify,2017-05-09,32000,0.213,0.942
STR_000012,TRK_01605,ART_0441,PE,Apple Music,2013-08-07,35000,0.141,0.735
STR_000013,TRK_03351,ART_0414,DZ,Amazon Music,2024-05-26,504000,0.313,0.843
STR_000014,TRK_00784,ART_0154,ZM,YouTube Music,2024-04-22,219000,0.031,0.9
STR_000015,TRK_00764,ART_0515,GN,Apple Music,2026-04-27,680000,0.229,0.964
STR_000016,TRK_03893,ART_0270,SA,Spotify,2022-04-30,62000,0.196,0.659
STR_000017,TRK_00479,ART_0641,SR,Spotify,2015-10-05,138000,0.237,0.941
STR_000018,TRK_03952,ART_0354,LV,Apple Music,2025-02-18,36000,0.21,0.716
STR_000019,TRK_01006,ART_0263,BW,Apple Music,2025-07-12,31000,0.067,0.857
STR_000020,TRK_00182,ART_0662,HT,Apple Music,2025-06-06,43999,0.074,0.859
STR_000021,TRK_01852,ART_0568,UG,Amazon Music,2018-05-16,66000,0.248,0.982
STR_000022,TRK_05565,ART_0371,FJ,Spotify,2026-04-27,69000,0.552,0.921
STR_000023,TRK_05191,ART_0539,BO,YouTube Music,2025-01-25,228000,0.382,0.807
STR_000024,TRK_00982,ART_0338,CD,Apple Music,2026-01-11,56000,0.324,0.656
STR_000025,TRK_00269,ART_0473,MW,YouTube Music,2024-01-16,151000,0.287,0.992
STR_000026,TRK_06000,ART_0657,LS,YouTube Music,2024-01-07,159000,0.162,0.645
STR_000027,TRK_00751,ART_0557,GM,Amazon Music,2026-04-27,295000,0.529,0.405
STR_000028,TRK_03198,ART_0508,CI,Spotify,2025-11-03,99000,0.099,0.914
STR_000029,TRK_04449,ART_0478,CY,YouTube Music,2026-04-27,146000,0.118,0.538
STR_000030,TRK_00129,ART_0311,NL,Apple Music,2025-01-04,804000,0.15,0.599
STR_000031,TRK_05810,ART_0071,ID,Spotify,2026-04-27,301000,0.141,0.917
STR_000032,TRK_03322,ART_0449,LY,Spotify,2025-07-24,62000,0.305,0.81
STR_000033,TRK_04493,ART_0255,MU,Tidal,2026-04-27,102000,0.051,0.72
STR_000034,TRK_01742,ART_0147,MD,Spotify,2026-01-26,88999,0.229,0.89
STR_000035,TRK_05667,ART_0154,CH,Spotify,2024-09-03,533000,0.231,0.863
STR_000036,TRK_01706,ART_0043,VE,Amazon Music,2025-12-11,365000,0.141,0.923
STR_000037,TRK_01440,ART_0664,MT,Spotify,2025-01-12,31000,0.205,0.794
STR_000038,TRK_05150,ART_0433,PA,Apple Music,2017-06-17,31000,0.151,0.771
STR_000039,TRK_04955,ART_0089,MH,YouTube Music,2026-04-17,1000000,0.436,0.901
STR_000040,TRK_03745,ART_0154,PA,Apple Music,2024-02-22,47000,0.195,0.912
STR_000041,TRK_05505,ART_0135,AU,Spotify,2025-08-05,734000,0.13,0.631
STR_000042,TRK_02166,ART_0381,MH,Spotify,2025-12-17,128000,0.184,0.77
STR_000043,TRK_05663,ART_0243,QA,Apple Music,2026-02-19,558000,0.356,0.924
STR_000044,TRK_04585,ART_0182,CD,Tidal,2024-11-04,65000,0.14,0.82
STR_000045,TRK_01182,ART_0423,QA,Spotify,2012-01-29,245000,0.104,0.857
STR_000046,TRK_03755,ART_0098,BW,YouTube Music,2020-07-19,99000,0.113,0.846
STR_000047,TRK_00484,ART_0405,ML,Amazon Music,2006-10-24,42000,0.031,0.754
STR_000048,TRK_00661,ART_0619,VU,Tidal,2025-06-22,39000,0.103,0.709
STR_000049,TRK_02618,ART_0646,KH,Apple Music,2023-11-23,267000,0.028,0.689
