track_id,tempo_bpm,energy,danceability,valence,acousticness,loudness_db,instrumentalness,speechiness,liveness,key,mode,time_signature
TRK_00001,132,0.815,0.634,0.293,0.3,-11.05,0.204,0.008,0.042,7,0,4
TRK_00002,87,0.319,0.449,0.976,0.483,-4.79,0.058,0.083,0.253,5,1,4
TRK_00003,112,0.141,0.859,0.707,0.59,-7.24,0.348,0.259,0.19,1,1,4
TRK_00004,115,0.314,0.818,0.755,0.271,-12.07,0.008,0.129,0.265,10,1,4
TRK_00005,112,0.895,0.753,0.499,0.66,-5.88,0.023,0.073,0.026,6,0,4
TRK_00006,121,0.896,0.446,0.834,0.664,-9.15,0.018,0.112,0.126,4,1,4
TRK_00007,111,0.53,0.687,0.508,0.456,-13.73,0.031,0.007,0.191,6,0,4
TRK_00008,156,0.066,0.675,0.195,0.335,-12.21,0.07,0.424,0.12,9,0,4
TRK_00009,112,0.819,0.764,0.875,0.039,-4.22,0.041,0.647,0.454,1,1,4
TRK_00010,136,0.885,0.739,0.675,0.015,-6.51,0.026,0.157,0.259,10,1,4
TRK_00011,101,0.33,0.625,0.407,0.485,-7.93,0.054,0.237,0.096,5,1,4
TRK_00012,116,0.927,0.902,0.406,0.127,-13.65,0.236,0.115,0.037,10,1,4
TRK_00013,102,0.121,0.113,0.355,0.906,-11.07,0.062,0.025,0.162,7,1,4
TRK_00014,46,0.482,0.054,0.2,0.629,-8.11,0.066,0.06,0.497,6,1,4
TRK_00015,144,0.834,0.561,0.772,0.055,-13.29,0.01,0.122,0.067,7,1,4
TRK_00016,137,0.941,0.893,0.365,0.191,-5.01,0.105,0.032,0.073,6,1,4
TRK_00017,85,0.782,0.544,0.718,0.448,-8.38,0.066,0.034,0.107,4,1,4
TRK_00018,77,0.397,0.576,0.516,0.354,-5.32,0.002,0.117,0.405,6,0,4
TRK_00019,141,0.971,0.313,0.753,0.901,-7.16,0.005,0.012,0.041,8,1,4
TRK_00020,114,0.434,0.609,0.458,0.809,-8.63,0.084,0.15,0.213,2,0,4
