track_id,album_id,artist_id,title,track_number,duration_ms,explicit,release_date,isrc,popularity_score
TRK_00001,ALB_0418,ART_0437,Son,1,227350,False,2017-09-18,NP814SRV721,0.05
TRK_00002,ALB_1281,ART_0384,Money Modern Receive Partner,1,234518,False,2025-04-05,CD981BMU794,0.041
TRK_00003,ALB_1207,ART_0400,Event,1,204230,False,2022-06-07,SL995FHU299,0.057
TRK_00004,ALB_0948,ART_0629,Place Manage Conference Participant,1,177563,False,2018-05-19,KN430OYH107,0.041
TRK_00005,ALB_0460,ART_0073,Scene Debate,1,298195,False,2022-08-17,VE660ZON558,0.033
TRK_00006,ALB_0018,ART_0539,Activity,1,226839,False,2023-10-27,DZ344GJU144,0.048
TRK_00007,ALB_0509,ART_0272,Short Box Four How,1,270907,True,2022-02-21,TN902REE355,0.033
TRK_00008,ALB_0913,ART_0151,Something Population,1,150657,False,2016-09-16,RO278VDH576,0.075
TRK_00009,ALB_0378,ART_0394,Firm,1,165937,False,2024-06-04,TM588RVZ039,0.046
TRK_00010,ALB_0773,ART_0162,Trouble Somebody,1,219936,False,2009-06-19,BI240KKM568,0.033
TRK_00011,ALB_0173,ART_0020,Improve,1,236874,False,2023-11-18,ER914AFF504,0.127
TRK_00012,ALB_0330,ART_0008,Theory He Stop,1,213182,False,2015-04-06,KI384YCX215,0.042
TRK_00013,ALB_0294,ART_0460,Dark Begin Media,1,276437,False,2021-06-16,RO823TXU578,0.032
TRK_00014,ALB_1226,ART_0572,Century The State Visit,1,637244,True,2019-12-12,GD230HAT768,0.047
TRK_00015,ALB_0371,ART_0016,Usually Reach Organization,1,231872,True,2026-04-27,BT570BKW184,0.035
TRK_00016,ALB_0158,ART_0147,Fine Throughout Fly,1,334030,False,2016-11-19,FI448RJK571,0.062
TRK_00017,ALB_0306,ART_0478,Event Address Performance Method,1,307882,False,2026-04-27,GA858TZS542,0.064
TRK_00018,ALB_0630,ART_0271,Off Commercial Find,1,251217,False,2026-04-27,LU870RDG207,0.163
TRK_00019,ALB_0921,ART_0426,Himself Beat,1,292541,False,2024-12-24,MX299TVM795,0.041
