### TABLE: record_labels ###
label_id,name,country,founding_year,label_type,royalty_rate_per_stream
LBL_0001,Universal Records,USA,1970,Major,0.00456
LBL_0002,Sony Records,France,1973,Major,0.00538
LBL_0003,Warner Records,Canada,1957,Major,0.0047
LBL_0004,Capitol Records,UK,1953,Major,0.00738
LBL_0005,Columbia Records,USA,1978,Major,0.00673
LBL_0006,"Rodriguez, Figueroa and Sanchez Music",USA,2017,Independent,0.00313
LBL_0007,Doyle Ltd Records,Japan,1985,Independent,0.00393
LBL_0008,"Mcclain, Miller and Henderson Records",Canada,2018,Independent,0.00524
LBL_0009,Davis and Sons Music,France,2014,Subsidiary,0.00388
LBL_0010,"Guzman, Hoffman and Baldwin Music",USA,2017,Independent,0.00624
LBL_0011,"Gardner, Robinson and Lawrence Records",USA,1980,Independent,0.00579
LBL_0012,Blake and Sons Music,UK,2001,Independent,0.00362
LBL_0013,"Henderson, Ramirez and Lewis Records",USA,2001,Independent,0.00337
LBL_0014,Garcia-James Music,USA,1986,Independent,0.00639
LBL_0015,Abbott-Munoz Music,USA,2018,Independent,0.00623
LBL_0016,Blair PLC Entertainment,Germany,2009,Independent,0.0035
LBL_0017,Dudley Group Records,UK,2004,Independent,0.00521
LBL_0018,Arnold Ltd Entertainment,USA,2020,Independent,0.00654
LBL_0019,"Mcclure, Ward and Lee Entertainment",USA,2003,Independent,0.00377
LBL_0020,Williams and Sons Records,France,1984,Subsidiary,0.00565
LBL_0021,Galloway-Wyatt Records,Germany,1998,Independent,0.00642
LBL_0022,James Group Music,USA,1986,Independent,0.00411
LBL_0023,"Flowers, Martin and Kelly Music",UK,2020,Independent,0.00365
LBL_0024,"Adams, Zuniga and Wong Records",UK,2002,Independent,0.00568
LBL_0025,"Reid, Ferguson and Sanchez Entertainment",Japan,1984,Independent,0.00554
LBL_0026,Gray-Mayo Entertainment,Canada,2014,Independent,0.00398
LBL_0027,"Watts, Robinson and Nguyen Music",UK,2009,Independent,0.00408
LBL_0028,Perez Inc Entertainment,USA,2020,Subsidiary,0.00523
LBL_0029,Morales-Jones Records,Germany,2000,Subsidiary,0.00392
LBL_0030,"Walter, Edwards and Rios Music",Japan,1982,Independent,0.0046
LBL_0031,Wilkerson-Day Records,Japan,1984,Independent,0.00665
LBL_0032,Baker and Sons Entertainment,USA,2016,Independent,0.00426
LBL_0033,"Hoffman, Baker and Richards Music",USA,2011,Independent,0.00654
LBL_0034,"Ross, Robinson and Bright Records",USA,2009,Subsidiary,0.00406
LBL_0035,"Snyder, Campos and Callahan Entertainment",USA,1995,Independent,0.00525
LBL_0036,Burton Ltd Entertainment,UK,1996,Independent,0.00534
LBL_0037,Carlson-Cruz Music,Germany,2017,Independent,0.00445
LBL_0038,"Ferrell, Rice and Maddox Entertainment",France,1988,Subsidiary,0.00497
LBL_0039,Frazier Inc Records,USA,1983,Independent,0.00361
LBL_0040,"Dyer, Potter and Mack Entertainment",Germany,1990,Subsidiary,0.00469
LBL_0041,Rodriguez-Graham Music,Canada,1984,Subsidiary,0.00453
LBL_0042,Smith-Bowen Entertainment,USA,2009,Independent,0.00401
LBL_0043,"Baker, Mason and White Records",USA,2015,Subsidiary,0.00572
LBL_0044,Harrell LLC Entertainment,UK,1987,Independent,0.00654
LBL_0045,"Romero, Gonzalez and Brooks Entertainment",USA,1997,Independent,0.00436
LBL_0046,Ryan PLC Music,USA,1998,Subsidiary,0.00363
LBL_0047,George Group Entertainment,UK,1980,Subsidiary,0.0065
LBL_0048,Rodriguez LLC Entertainment,UK,1996,Independent,0.00605
LBL_0049,Allen-Allen Records,Canada,2012,Subsidiary,0.00648
LBL_0050,"Arroyo, Miller and Tucker Entertainment",UK,1999,Subsidiary,0.00503

### TABLE: artists ###
artist_id,name,country,primary_genre,secondary_genre,debut_year,label_id,is_active,popularity_score
ART_0172,James Elliott,Anguilla,Classical,,2013,LBL_0006,True,0.031
ART_0423,The Browns,Canada,Classical,,1991,LBL_0026,False,0.039
ART_0655,Kelly Torres,Central African Republic,Classical,Hip-Hop,2018,LBL_0006,True,0.027
ART_0283,David Wilson,France,Classical,,2019,LBL_0009,True,0.017
ART_0662,Todd Moore,France,Classical,,2014,LBL_0020,False,0.027
ART_0336,The Knights,Germany,Classical,Indie,2006,LBL_0016,False,0.018
ART_0241,Duane Mendoza,Guam,Classical,,2005,LBL_0010,True,0.017
ART_0197,The Odonnells,Honduras,Classical,Indie,2022,LBL_0010,True,0.017
ART_0643,The Wards,Japan,Classical,,2001,LBL_0030,True,0.039
ART_0212,Timothy Ramirez,Korea,Classical,,1993,LBL_0042,True,0.024
ART_0082,Kimberly Davenport,Myanmar,Classical,,2023,LBL_0039,True,0.03
ART_0505,Jeremiah Harrison,Norfolk Island,Classical,Electronic,2014,LBL_0033,True,0.017
ART_0652,The Deleons,Northern Mariana Islands,Classical,,1996,LBL_0029,True,0.021
ART_0512,The Bests,Saint Vincent and the Grenadines,Classical,,2003,LBL_0045,False,0.019
ART_0693,The Lunas,Serbia,Classical,,1998,LBL_0012,False,0.022
ART_0314,Patrick Thornton,Sudan,Classical,,2020,LBL_0043,False,0.055
ART_0096,Richard Rodriguez,Tunisia,Classical,,2009,LBL_0045,True,0.018
ART_0572,Gabriela Thomas,UK,Classical,,2006,LBL_0027,False,0.019
ART_0348,Ryan Gonzalez,UK,Classical,,2023,LBL_0036,True,0.021
ART_0395,Brittany Perry,USA,Classical,R&B,2015,LBL_0033,True,0.051
ART_0055,Timothy Walls,Algeria,Country,,2010,LBL_0035,True,0.02
ART_0397,The Lynns,Antigua and Barbuda,Country,,2022,LBL_0014,True,0.027
ART_0155,George Orozco,Belgium,Country,,2020,LBL_0005,True,0.044
ART_0022,Megan Joyce,Bolivia,Country,Indie,2010,LBL_0016,True,0.038
ART_0557,Curtis Jacobs,Canada,Country,,2022,LBL_0008,False,0.025
ART_0569,The Millers,Czech Republic,Country,Rock,2003,LBL_0043,True,0.019
ART_0585,Jeffrey Mendez,Dominican Republic,Country,,2017,LBL_0011,True,0.046
ART_0378,The Chamberss,Germany,Country,Pop,1998,LBL_0037,False,0.017
ART_0465,The Perrys,Germany,Country,,2023,LBL_0037,True,0.027
ART_0521,Thomas Hughes,Germany,Country,,2018,LBL_0040,True,0.06
ART_0614,Samantha Gardner,Gibraltar,Country,Pop,2024,LBL_0027,True,0.019
ART_0360,Richard Johnson,Haiti,Country,,1997,LBL_0012,True,0.018
ART_0265,John Torres,Iraq,Country,,2004,LBL_0041,True,0.026
ART_0199,The Sanchezs,Japan,Country,Hip-Hop,2010,LBL_0007,False,0.021
ART_0249,Courtney Mills,Korea,Country,,2022,LBL_0026,True,0.022
ART_0424,James Parks,Liechtenstein,Country,Jazz,1996,LBL_0009,False,0.149
ART_0645,Johnny Ward,Montserrat,Country,,2006,LBL_0012,True,0.021
ART_0047,The Hudsons,Mozambique,Country,,2020,LBL_0040,True,0.019
ART_0504,The Morriss,Niue,Country,Electronic,1990,LBL_0041,False,0.019
ART_0182,The Bells,Pakistan,Country,Indie,1995,LBL_0033,True,0.037
ART_0092,Sierra Johnson,Saint Pierre and Miquelon,Country,,2020,LBL_0019,True,0.039
ART_0667,Laura Curtis,Seychelles,Country,Hip-Hop,2006,LBL_0010,True,0.02
ART_0648,Kelly Hammond,Swaziland,Country,,1996,LBL_0047,True,0.033
ART_0534,Sandra Rodgers,UK,Country,Electronic,1992,LBL_0036,True,0.017
ART_0157,Amy Russell,UK,Country,Pop,1997,LBL_0027,True,0.021
ART_0185,The Gonzalezs,UK,Country,Hip-Hop,2006,LBL_0047,True,0.037
ART_0078,Aaron Wise,USA,Country,,1995,LBL_0019,True,0.024
ART_0118,The Martinezs,USA,Country,,2008,LBL_0015,True,0.028
ART_0148,Pedro Ramos,USA,Country,,2013,LBL_0033,True,0.058
ART_0133,The Atkinsons,Barbados,Electronic,,2015,LBL_0036,True,0.022
ART_0485,Kimxx,Botswana,Electronic,Classical,2009,LBL_0046,True,0.02
ART_0381,Rodriguezx,Djibouti,Electronic,Hip-Hop,2007,LBL_0006,False,0.2
ART_0264,The Carrolls,France,Electronic,,2007,LBL_0009,True,0.069
ART_0579,Ashley Roberts,Gabon,Electronic,Classical,2015,LBL_0035,True,0.024
ART_0003,Arroyo,Germany,Electronic,Metal,2005,LBL_0037,True,0.022
ART_0068,Taylorx,Germany,Electronic,Rock,2009,LBL_0037,True,0.028
ART_0120,Edward Martinez,Italy,Electronic,,1993,LBL_0019,True,0.031
ART_0620,Robert Shelton,Japan,Electronic,,2000,LBL_0007,True,0.021
ART_0071,Denise Jacobs,Japan,Electronic,,2021,LBL_0007,True,0.041
ART_0518,The Zimmermans,Kazakhstan,Electronic,,2006,LBL_0042,False,0.028
ART_0207,Snowx,Kuwait,Electronic,Rock,1991,LBL_0023,True,0.025
ART_0030,Annette Pearson,Mauritius,Electronic,,2013,LBL_0038,True,0.019
ART_0638,The Mckinneys,Mexico,Electronic,,2005,LBL_0040,True,0.029
ART_0349,John Young,Montserrat,Electronic,,2022,LBL_0010,True,0.021
ART_0583,Chen,Morocco,Electronic,Jazz,2012,LBL_0009,True,0.022
ART_0147,Mary Travis,Nepal,Electronic,,2006,LBL_0004,True,0.078
ART_0385,The Hollands,North Macedonia,Electronic,Hip-Hop,1996,LBL_0007,True,0.024
ART_0319,Joseph Bryant,Saint Helena,Electronic,,2014,LBL_0025,True,0.026
ART_0599,Dayxx,Switzerland,Electronic,Indie,2012,LBL_0032,True,0.019
ART_0373,Misty Whitney,Tanzania,Electronic,R&B,1998,LBL_0016,True,0.046
ART_0463,Amber Miller,UK,Electronic,Indie,2004,LBL_0036,True,0.017
ART_0231,Tapiax,UK,Electronic,Rock,2001,LBL_0050,True,0.033
ART_0040,The Phillipss,UK,Electronic,Rock,2002,LBL_0024,True,0.07
ART_0054,Brewerx,USA,Electronic,Jazz,2023,LBL_0032,True,0.017
ART_0008,Michael Brooks,USA,Electronic,,1993,LBL_0015,True,0.02
ART_0162,Woods,USA,Electronic,,1991,LBL_0006,True,0.066
ART_0242,Jack King,Austria,Hip-Hop,,2005,LBL_0011,True,0.044
ART_0115,DJ Michael Baby,Bangladesh,Hip-Hop,Country,2019,LBL_0001,True,0.018
ART_0028,Young Nancy,Belarus,Hip-Hop,Country,1993,LBL_0006,True,0.02
ART_0493,Big Debbie King,Cameroon,Hip-Hop,,2000,LBL_0043,True,0.018
ART_0248,The Obriens,Canada,Hip-Hop,,1996,LBL_0026,False,0.018
ART_0398,Big Hannah,Cuba,Hip-Hop,Rock,1994,LBL_0020,True,0.02
ART_0692,Brian Anderson,Estonia,Hip-Hop,Pop,2008,LBL_0021,True,0.026
ART_0227,Erin Warner,Faroe Islands,Hip-Hop,Pop,2022,LBL_0015,True,0.031
ART_0666,DJ Brandon Baby,France,Hip-Hop,,2024,LBL_0020,True,0.018
ART_0122,Jennifer Bass,Gabon,Hip-Hop,,2021,LBL_0038,False,0.02
ART_0275,Catherine Richards,Germany,Hip-Hop,,2010,LBL_0016,True,0.017
ART_0234,Tiffany Baby,Germany,Hip-Hop,,2009,LBL_0040,True,0.022
ART_0261,Charles Brown,Germany,Hip-Hop,Country,2021,LBL_0021,False,0.028
ART_0490,Jordan Bullock,Guernsey,Hip-Hop,R&B,1998,LBL_0047,True,0.028
ART_0334,DJ Brian Baby,Guinea-Bissau,Hip-Hop,,2005,LBL_0037,True,0.021
ART_0161,Shannon Cannon,Hong Kong,Hip-Hop,Rock,2009,LBL_0022,False,0.025
ART_0496,The Morrisons,Japan,Hip-Hop,Indie,1997,LBL_0031,True,0.018
ART_0432,DJ Danny King,Japan,Hip-Hop,,2012,LBL_0031,True,0.022
ART_0368,Big Monica King,Japan,Hip-Hop,,2017,LBL_0007,True,0.033
ART_0680,The Owenss,Japan,Hip-Hop,,2003,LBL_0031,True,0.037
ART_0282,Robin Pierce,Korea,Hip-Hop,,1997,LBL_0044,True,0.043
ART_0600,Big Kimberly Baby,Kyrgyz Republic,Hip-Hop,,1994,LBL_0033,True,0.018
ART_0691,Destiny Prince,Latvia,Hip-Hop,Metal,2005,LBL_0021,True,0.056
ART_0514,Marissa Morris,Lebanon,Hip-Hop,,1997,LBL_0019,True,0.024
ART_0033,Big Richard King,Liberia,Hip-Hop,R&B,2011,LBL_0027,True,0.045
ART_0466,Big Jason Baby,Malaysia,Hip-Hop,,2001,LBL_0011,True,0.031
ART_0587,William Jones,Malta,Hip-Hop,Country,2012,LBL_0050,True,0.02
ART_0245,Lil Travis Prince,Morocco,Hip-Hop,,2020,LBL_0019,True,0.018
ART_0394,Melissa Fernandez,Namibia,Hip-Hop,,2020,LBL_0050,True,0.075
